date,val
12/1/2015,0.7036
12/2/2015,0.7059
12/3/2015,0.7122
12/4/2015,0.7201
12/7/2015,0.7177
12/8/2015,0.7271
12/9/2015,0.7251
12/10/2015,0.7235
12/11/2015,0.7224
12/14/2015,0.726
12/15/2015,0.7252
12/16/2015,0.7283
12/17/2015,0.7266
12/18/2015,0.72666
12/21/2015,0.72985
12/22/2015,0.7362
12/23/2015,0.733
12/24/2015,0.7342
12/28/2015,0.73535
12/29/2015,0.74005
12/30/2015,0.73799
12/31/2015,0.73395
1/4/2016,0.7381
1/5/2016,0.73235
1/6/2016,0.7344
1/7/2016,0.74545
1/8/2016,0.74519
1/11/2016,0.74705
1/12/2016,0.7508
1/13/2016,0.7502
1/14/2016,0.75703
1/15/2016,0.7615
1/18/2016,0.76263
1/19/2016,0.76473
1/20/2016,0.77
1/21/2016,0.77182
1/22/2016,0.75459
1/25/2016,0.7589
1/26/2016,0.76095
1/27/2016,0.75965
1/28/2016,0.76228
1/29/2016,0.7641
2/1/2016,0.761
2/2/2016,0.7586
2/3/2016,0.7533
2/4/2016,0.76595
2/5/2016,0.76975
2/8/2016,0.7724
2/9/2016,0.77945
2/10/2016,0.77328
2/11/2016,0.7874
2/12/2016,0.77735
2/15/2016,0.772
2/16/2016,0.7758
2/17/2016,0.77835
2/18/2016,0.77143
2/19/2016,0.77715
2/22/2016,0.78243
2/23/2016,0.77985
2/24/2016,0.78935
2/25/2016,0.7892
2/26/2016,0.78745
2/29/2016,0.7858
3/1/2016,0.778
3/2/2016,0.7741
3/3/2016,0.77435
3/4/2016,0.77483
3/7/2016,0.77438
3/8/2016,0.77608
3/9/2016,0.77135
3/10/2016,0.76728
3/11/2016,0.77595
3/14/2016,0.77428
3/15/2016,0.78358
3/16/2016,0.7873
3/17/2016,0.78218
3/18/2016,0.77855
3/21/2016,0.78303
3/22/2016,0.7879
3/23/2016,0.78985
3/24/2016,0.78938
3/29/2016,0.7845
3/30/2016,0.7858
3/31/2016,0.79155
4/1/2016,0.7989
4/4/2016,0.79738
4/5/2016,0.8016
4/6/2016,0.80808
4/7/2016,0.80728
4/8/2016,0.8073
4/11/2016,0.8006
4/12/2016,0.7984
4/13/2016,0.79388
4/14/2016,0.7956
4/15/2016,0.79575
4/18/2016,0.7978
4/19/2016,0.78975
4/20/2016,0.791
4/21/2016,0.78693
4/22/2016,0.78335
4/25/2016,0.7764
4/26/2016,0.77483
4/27/2016,0.77475
4/28/2016,0.77838
4/29/2016,0.78025
5/2/2016,0.78248
5/3/2016,0.79103
5/4/2016,0.79284
5/5/2016,0.7886
5/6/2016,0.7885
5/9/2016,0.78998
5/10/2016,0.7876
5/11/2016,0.78958
5/12/2016,0.78888
5/13/2016,0.78758
5/16/2016,0.788
5/17/2016,0.7815
5/18/2016,0.77485
5/19/2016,0.76585
5/20/2016,0.77008
5/23/2016,0.77443
5/24/2016,0.76513
5/25/2016,0.75925
5/26/2016,0.7597
5/27/2016,0.76245
5/30/2016,0.76125
5/31/2016,0.76185
6/1/2016,0.77358
6/2/2016,0.77335
6/3/2016,0.77285
6/6/2016,0.7872
6/7/2016,0.7788
6/8/2016,0.78048
6/9/2016,0.78438
6/10/2016,0.7848
6/13/2016,0.79515
6/14/2016,0.79478
6/15/2016,0.79158
6/16/2016,0.79033
6/17/2016,0.7877
6/20/2016,0.77375
6/21/2016,0.76755
6/22/2016,0.76793
6/23/2016,0.76595
6/24/2016,0.8075
6/27/2016,0.834
6/28/2016,0.8272
6/29/2016,0.8255
6/30/2016,0.8265
7/1/2016,0.8383
7/4/2016,0.83905
7/5/2016,0.84997
7/6/2016,0.853
7/7/2016,0.85085
7/8/2016,0.85243
7/11/2016,0.85097
7/12/2016,0.84275
7/13/2016,0.83398
7/14/2016,0.83311
7/15/2016,0.83275
7/18/2016,0.83372
7/19/2016,0.8395
7/20/2016,0.83605
7/21/2016,0.83595
7/22/2016,0.84108
7/25/2016,0.8367
7/26/2016,0.8371
7/27/2016,0.83875
7/28/2016,0.8422
7/29/2016,0.844
8/1/2016,0.8454
8/2/2016,0.8431
8/3/2016,0.8391
8/4/2016,0.84603
8/5/2016,0.8481
8/8/2016,0.84955
8/9/2016,0.85399
8/10/2016,0.85541
8/11/2016,0.86038
8/12/2016,0.8605
8/15/2016,0.86677
8/16/2016,0.8706
8/17/2016,0.8664
8/18/2016,0.86073
8/19/2016,0.86537
8/22/2016,0.8624
8/23/2016,0.85995
8/24/2016,0.8513
8/25/2016,0.8557
8/26/2016,0.8545
8/29/2016,0.85476
8/30/2016,0.8517
8/31/2016,0.84806
9/1/2016,0.8405
9/2/2016,0.8426
9/5/2016,0.83643
9/6/2016,0.83535
9/7/2016,0.83968
9/8/2016,0.8456
9/9/2016,0.84558
9/12/2016,0.84475
9/13/2016,0.84763
9/14/2016,0.85078
9/15/2016,0.85198
9/16/2016,0.85203
9/19/2016,0.855
9/20/2016,0.86213
9/21/2016,0.85693
9/22/2016,0.85925
9/23/2016,0.86435
9/26/2016,0.8709
9/27/2016,0.86413
9/28/2016,0.86208
9/29/2016,0.86138
9/30/2016,0.86103
10/3/2016,0.87318
10/4/2016,0.8754
10/5/2016,0.88155
10/6/2016,0.88323
10/7/2016,0.90353
10/10/2016,0.9007
10/11/2016,0.90233
10/12/2016,0.8999
10/13/2016,0.9043
10/14/2016,0.8991
10/17/2016,0.90485
10/18/2016,0.89565
10/19/2016,0.89338
10/20/2016,0.89568
10/21/2016,0.8932
10/24/2016,0.89015
10/25/2016,0.88998
10/26/2016,0.89465
10/27/2016,0.89158
10/28/2016,0.89905
10/31/2016,0.9005
11/1/2016,0.90173
11/2/2016,0.90063
11/3/2016,0.88658
11/4/2016,0.88808
11/7/2016,0.8904
11/8/2016,0.89088
11/9/2016,0.8903
11/10/2016,0.87785
11/11/2016,0.86133
11/14/2016,0.85985
11/15/2016,0.86638
11/16/2016,0.8611
11/17/2016,0.86055
11/18/2016,0.86218
11/21/2016,0.85725
11/22/2016,0.85423
11/23/2016,0.85393
11/24/2016,0.848
11/25/2016,0.85182
11/28/2016,0.85303
11/29/2016,0.84815
11/30/2016,0.8525
12/1/2016,0.84098
12/2/2016,0.84303
12/5/2016,0.84168
12/6/2016,0.8421
12/7/2016,0.85095
12/8/2016,0.84995
12/9/2016,0.83935
12/12/2016,0.839
12/13/2016,0.83488
12/14/2016,0.83963
12/15/2016,0.83598
12/16/2016,0.8389
12/19/2016,0.8414
12/20/2016,0.83978
12/21/2016,0.8424
12/22/2016,0.84645
12/23/2016,0.85278
12/27/2016,0.853
12/28/2016,0.85128
12/29/2016,0.853
12/30/2016,0.85618
1/2/2017,0.8514
1/3/2017,0.84565
1/4/2017,0.84945
1/5/2017,0.8544
1/6/2017,0.85648
1/9/2017,0.8666
1/10/2017,0.8694
1/11/2017,0.86725
1/12/2017,0.86843
1/13/2017,0.87548
1/16/2017,0.87808
1/17/2017,0.8679
1/18/2017,0.86833
1/19/2017,0.86555
1/20/2017,0.86595
1/23/2017,0.86148
1/24/2017,0.8635
1/25/2017,0.85323
1/26/2017,0.85143
1/27/2017,0.8517
1/30/2017,0.84935
1/31/2017,0.86105
2/1/2017,0.85418
2/2/2017,0.86068
2/3/2017,0.86013
2/6/2017,0.8595
2/7/2017,0.8633
2/8/2017,0.85315
2/9/2017,0.8509
2/10/2017,0.8529
2/13/2017,0.8489
2/14/2017,0.85098
2/15/2017,0.84998
2/16/2017,0.8511
2/17/2017,0.8572
2/20/2017,0.85145
2/21/2017,0.8486
2/22/2017,0.8445
2/23/2017,0.84628
2/24/2017,0.84503
2/27/2017,0.8528
2/28/2017,0.85305
3/1/2017,0.8555
3/2/2017,0.8556
3/3/2017,0.86355
3/6/2017,0.863
3/7/2017,0.8671
3/8/2017,0.86753
3/9/2017,0.86653
3/10/2017,0.8725
3/13/2017,0.87258
3/14/2017,0.87563
3/15/2017,0.87073
3/16/2017,0.8681
3/17/2017,0.86868
3/20/2017,0.86793
3/21/2017,0.86753
3/22/2017,0.8679
3/23/2017,0.86273
3/24/2017,0.866
3/27/2017,0.86403
3/28/2017,0.86455
3/29/2017,0.86385
3/30/2017,0.8618
3/31/2017,0.85553
4/3/2017,0.8526
4/4/2017,0.85623
4/5/2017,0.8551
4/6/2017,0.8559
4/7/2017,0.85573
4/10/2017,0.85335
4/11/2017,0.8533
4/12/2017,0.8484
4/13/2017,0.84763
4/18/2017,0.84375
4/19/2017,0.8343
4/20/2017,0.8392
4/21/2017,0.8372
4/24/2017,0.8483
4/25/2017,0.84928
4/26/2017,0.84903
4/27/2017,0.8442
4/28/2017,0.84473
5/2/2017,0.8452
5/3/2017,0.8444
5/4/2017,0.84765
5/5/2017,0.8471
5/8/2017,0.84465
5/9/2017,0.843
5/10/2017,0.83985
5/11/2017,0.84485
5/12/2017,0.84588
5/15/2017,0.84928
5/16/2017,0.85868
5/17/2017,0.85745
5/18/2017,0.85363
5/19/2017,0.85908
5/22/2017,0.86353
5/23/2017,0.86463
5/24/2017,0.8634
5/25/2017,0.86528
5/26/2017,0.8719
5/29/2017,0.87093
5/30/2017,0.86793
5/31/2017,0.87365
6/1/2017,0.8723
6/2/2017,0.87268
6/5/2017,0.8713
6/6/2017,0.8723
6/7/2017,0.86908
6/8/2017,0.86755
6/9/2017,0.87638
6/12/2017,0.88545
6/13/2017,0.88075
6/14/2017,0.8796
6/15/2017,0.8764
6/16/2017,0.87453
6/19/2017,0.87518
6/20/2017,0.88143
6/21/2017,0.8781
6/22/2017,0.88168
6/23/2017,0.87805
6/26/2017,0.8783
6/27/2017,0.8837
6/28/2017,0.88525
6/29/2017,0.8799
6/30/2017,0.87933
7/3/2017,0.87705
7/4/2017,0.87805
7/5/2017,0.87735
7/6/2017,0.88013
7/7/2017,0.88488
7/10/2017,0.88443
7/11/2017,0.88318
7/12/2017,0.88925
7/13/2017,0.88215
7/14/2017,0.87983
7/17/2017,0.87755
7/18/2017,0.8878
7/19/2017,0.88485
7/20/2017,0.88718
7/21/2017,0.8961
7/24/2017,0.8935
7/25/2017,0.89395
7/26/2017,0.89275
7/27/2017,0.88978
7/28/2017,0.89568
7/31/2017,0.8942
8/1/2017,0.8944
8/2/2017,0.89425
8/3/2017,0.90318
8/4/2017,0.9028
8/7/2017,0.90435
8/8/2017,0.90678
8/9/2017,0.90338
8/10/2017,0.90303
8/11/2017,0.90645
8/14/2017,0.90935
8/15/2017,0.91145
8/16/2017,0.90993
8/17/2017,0.90895
8/18/2017,0.91188
8/21/2017,0.91318
8/22/2017,0.91713
8/23/2017,0.92133
8/24/2017,0.92
8/25/2017,0.92083
8/28/2017,0.92328
8/29/2017,0.92965
8/30/2017,0.92246
8/31/2017,0.91973
9/1/2017,0.92075
9/4/2017,0.91855
9/5/2017,0.9174
9/6/2017,0.91428
9/7/2017,0.91403
9/8/2017,0.91268
9/11/2017,0.90775
9/12/2017,0.89878
9/13/2017,0.90243
9/14/2017,0.89123
9/15/2017,0.88043
9/18/2017,0.88253
9/19/2017,0.88622
9/20/2017,0.8868
9/21/2017,0.8824
9/22/2017,0.88155
9/25/2017,0.87938
9/26/2017,0.87775
9/27/2017,0.87565
9/28/2017,0.87635
9/29/2017,0.88178
10/2/2017,0.88418
10/3/2017,0.88793
10/4/2017,0.88768
10/5/2017,0.89153
10/6/2017,0.89535
10/9/2017,0.89195
10/10/2017,0.8941
10/11/2017,0.8971
10/12/2017,0.90235
10/13/2017,0.8898
10/16/2017,0.88753
10/17/2017,0.89148
10/18/2017,0.89283
10/19/2017,0.89815
10/20/2017,0.89623
10/23/2017,0.8909
10/24/2017,0.89303
10/25/2017,0.88883
10/26/2017,0.8901
10/27/2017,0.88633
10/30/2017,0.8798
10/31/2017,0.87853
11/1/2017,0.87385
11/2/2017,0.8869
11/3/2017,0.88923
11/6/2017,0.8839
11/7/2017,0.88038
11/8/2017,0.88405
11/9/2017,0.88633
11/10/2017,0.8837
11/13/2017,0.89018
11/14/2017,0.89585
11/15/2017,0.8991
11/16/2017,0.89183
11/17/2017,0.89385
11/20/2017,0.8894
11/21/2017,0.88498
11/22/2017,0.8881
11/23/2017,0.89005
11/24/2017,0.8912
11/27/2017,0.89375
11/28/2017,0.89538
11/29/2017,0.88293
11/30/2017,0.87985
12/1/2017,0.88115
12/4/2017,0.87725
12/5/2017,0.88183
12/6/2017,0.88335
12/7/2017,0.88068
12/8/2017,0.87525
12/11/2017,0.8825
12/12/2017,0.88068
12/13/2017,0.87905
12/14/2017,0.88163
12/15/2017,0.88253
12/18/2017,0.88208
12/19/2017,0.885
12/20/2017,0.8832
12/21/2017,0.88763
12/22/2017,0.88568
12/27/2017,0.88593
12/28/2017,0.88768
12/29/2017,0.88723
1/2/2018,0.88953
1/3/2018,0.8864
1/4/2018,0.89103
1/5/2018,0.88883
1/8/2018,0.88413
1/9/2018,0.8827
1/10/2018,0.8867
1/11/2018,0.89075
1/12/2018,0.88983
1/15/2018,0.89043
1/16/2018,0.8886
1/17/2018,0.88568
1/18/2018,0.88208
1/19/2018,0.88365
1/22/2018,0.88085
1/23/2018,0.8783
1/24/2018,0.87183
1/25/2018,0.87038
1/26/2018,0.87335
1/29/2018,0.8794
1/30/2018,0.8793
1/31/2018,0.8791
2/1/2018,0.8752
2/2/2018,0.8785
2/5/2018,0.88568
2/6/2018,0.88885
2/7/2018,0.88675
2/8/2018,0.87513
2/9/2018,0.8874
2/12/2018,0.886
2/13/2018,0.88935
2/14/2018,0.8904
2/15/2018,0.8866
2/16/2018,0.88803
2/19/2018,0.8859
2/20/2018,0.88168
2/21/2018,0.88463
2/22/2018,0.88343
2/23/2018,0.8794
2/26/2018,0.8782
2/27/2018,0.884
2/28/2018,0.88415
3/1/2018,0.8852
3/2/2018,0.8932
3/5/2018,0.8907
3/6/2018,0.89165
3/7/2018,0.89513
3/8/2018,0.89465
3/9/2018,0.88893
3/12/2018,0.8859
3/13/2018,0.8865
3/14/2018,0.8863
3/15/2018,0.8848
3/16/2018,0.88253
3/19/2018,0.87593
3/20/2018,0.87715
3/21/2018,0.87403
3/22/2018,0.872
3/23/2018,0.87285
3/26/2018,0.87248
3/27/2018,0.8794
3/28/2018,0.87605
3/29/2018,0.8749
4/3/2018,0.87523
4/4/2018,0.87573
4/5/2018,0.87395
4/6/2018,0.87295
4/9/2018,0.87088
4/10/2018,0.87183
4/11/2018,0.8736
4/12/2018,0.86745
4/13/2018,0.864
4/16/2018,0.86465
4/17/2018,0.8628
4/18/2018,0.87105
4/19/2018,0.86975
4/20/2018,0.87608
4/23/2018,0.8764
4/24/2018,0.87468
4/25/2018,0.8738
4/26/2018,0.871
4/27/2018,0.877
4/30/2018,0.8796
5/2/2018,0.8804
5/3/2018,0.8818
5/4/2018,0.88235
5/7/2018,0.8801
5/8/2018,0.8793
5/9/2018,0.87445
5/10/2018,0.8781
5/11/2018,0.88
5/14/2018,0.8824
5/15/2018,0.879
5/16/2018,0.87418
5/17/2018,0.8735
5/18/2018,0.87325
5/21/2018,0.8764
5/22/2018,0.87688
5/23/2018,0.87953
5/24/2018,0.87475
5/25/2018,0.8754
5/28/2018,0.87465
5/29/2018,0.87143
5/30/2018,0.875
5/31/2018,0.8768
6/1/2018,0.8768
6/4/2018,0.87673
6/5/2018,0.8739
6/6/2018,0.87683
6/7/2018,0.88123
6/8/2018,0.87733
