date,val
6-Jan-16,1.0742
7-Jan-16,1.0868
8-Jan-16,1.0861
11-Jan-16,1.0888
12-Jan-16,1.0836
13-Jan-16,1.0816
14-Jan-16,1.0893
15-Jan-16,1.0914
19-Jan-16,1.0868
20-Jan-16,1.0907
21-Jan-16,1.0893
22-Jan-16,1.0808
25-Jan-16,1.0815
26-Jan-16,1.0837
27-Jan-16,1.0888
28-Jan-16,1.0903
29-Jan-16,1.092
1-Feb-16,1.0884
2-Feb-16,1.0919
3-Feb-16,1.0933
4-Feb-16,1.1206
5-Feb-16,1.1202
8-Feb-16,1.1101
9-Feb-16,1.1236
10-Feb-16,1.1257
11-Feb-16,1.1347
12-Feb-16,1.1275
16-Feb-16,1.1166
17-Feb-16,1.1136
18-Feb-16,1.1084
19-Feb-16,1.1096
22-Feb-16,1.1026
23-Feb-16,1.1002
24-Feb-16,1.0981
25-Feb-16,1.1027
26-Feb-16,1.1006
29-Feb-16,1.0888
1-Mar-16,1.0872
2-Mar-16,1.0856
3-Mar-16,1.0901
4-Mar-16,1.097
7-Mar-16,1.0953
8-Mar-16,1.1028
9-Mar-16,1.0973
10-Mar-16,1.0857
11-Mar-16,1.109
14-Mar-16,1.1119
15-Mar-16,1.1109
16-Mar-16,1.1064
17-Mar-16,1.1311
18-Mar-16,1.1279
21-Mar-16,1.1271
22-Mar-16,1.1212
23-Mar-16,1.1171
24-Mar-16,1.1154
25-Mar-16,
28-Mar-16,
29-Mar-16,1.1194
30-Mar-16,1.1324
31-Mar-16,1.1385
1-Apr-16,1.1432
4-Apr-16,1.138
5-Apr-16,1.1367
6-Apr-16,1.1336
7-Apr-16,1.1364
8-Apr-16,1.1363
11-Apr-16,1.139
12-Apr-16,1.1396
13-Apr-16,1.1298
14-Apr-16,1.1252
15-Apr-16,1.1284
18-Apr-16,1.1306
19-Apr-16,1.1343
20-Apr-16,1.1379
21-Apr-16,1.1355
22-Apr-16,1.1263
25-Apr-16,1.1264
26-Apr-16,1.1287
27-Apr-16,1.1303
28-Apr-16,1.1358
29-Apr-16,1.1403
2-May-16,1.1493
3-May-16,1.1569
4-May-16,1.1505
5-May-16,1.1439
6-May-16,1.1427
9-May-16,1.1395
10-May-16,1.1375
11-May-16,1.1409
12-May-16,1.1389
13-May-16,1.1348
16-May-16,1.1324
17-May-16,1.1318
18-May-16,1.1279
19-May-16,1.1197
20-May-16,1.1219
23-May-16,1.1215
24-May-16,1.1168
25-May-16,1.1146
26-May-16,1.1168
27-May-16,1.1168
31-May-16,1.1154
1-Jun-16,1.1174
2-Jun-16,1.1188
3-Jun-16,1.1154
6-Jun-16,1.1349
7-Jun-16,1.1348
8-Jun-16,1.1378
9-Jun-16,1.1343
10-Jun-16,1.1304
13-Jun-16,1.1268
14-Jun-16,1.1225
15-Jun-16,1.123
16-Jun-16,1.1174
17-Jun-16,1.1254
20-Jun-16,1.1332
